date	CIDE3140A_13282	CIDE3150B_26359	CIDE3151B_26360	CIDE3152B_26361	CIDE3153B_26362	CIDE3154A_23841	CIDE3160B_26363	CIDE3992_26364	CIDE4107_26365	CIDE4110_12350	CIDE4114_12347	CIDE4119_26366	CIDE4128_23845	CIDE4132_14211	CIDE4133_13827	CIDE4134_13828	CIDE4135_13829	CIDE4136_23846	CIDE4139_26367	CIDE4140_13830	CIDE4148_15420	CIDE4150_26368	CIDE4151_17523	CIDE4152_16079	CIDE4152_25935	CIDE4157_26369	CIDE4158_26370	CIDE4159_23635	CIDE4162_26371	CIDE4167_26372	CIDE4169_23117	CIDE4171_23654	CIDE4171_25961	CIDE4172_23852	CIDE4178_26373	CIDE4179_23859	CIDE4180_23860	CIDE4182_26374	CIDE4183_26375	CIDE4184_26376	CIDE4185_26377	CIDE4188_26378	CIDE4189_28572	CIDE5100_26379	CIDE5106_26380	CIDE5114_26381	CIDE5317_26384	CIDE5318_26385	CIDE5406_26386	CIDE5411_26387	CIDE6980_28571
1707271136	-1	17	50	56	47	57	34	0	0	24	17	2	0	3	0	3	12	2	15	30	30	0	23	0	7	0	0	0	0	-2	19	2	12	9	29	19	12	32	16	0	22	0	30	12	3	-8	9	9	17	-3	0
1707271218	-1	19	50	56	47	57	34	0	0	24	17	2	0	3	0	3	12	2	15	30	30	0	23	0	7	0	0	0	0	-2	19	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-8	9	9	17	-3	0
1707271250	-1	19	50	56	47	56	33	0	0	24	17	2	0	3	0	3	12	2	15	30	30	0	23	0	7	0	0	0	0	-2	19	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-8	9	9	17	-3	0
1707271309	-1	19	50	56	47	56	33	0	0	24	17	2	0	3	0	3	12	2	15	30	30	0	23	0	7	0	0	0	0	-2	18	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-8	9	9	17	-3	0
1707271338	-1	19	50	56	47	56	33	0	0	24	17	2	0	3	0	3	12	2	15	30	30	0	23	0	7	0	0	0	0	-2	18	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-8	9	9	17	-3	0
1707271422	-1	20	50	56	47	56	34	0	0	24	17	2	0	3	0	3	12	2	16	30	30	0	23	0	7	0	0	0	0	-2	18	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-8	9	9	17	-3	0
1707271448	-1	19	50	56	47	57	34	0	0	24	17	2	0	3	0	3	12	3	16	30	30	0	23	0	7	0	0	0	0	-2	18	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-7	9	9	17	-3	0
1707271510	-1	19	49	56	47	57	34	0	0	23	17	2	0	3	0	3	12	3	16	30	30	0	23	0	7	0	0	0	0	-2	18	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-7	9	9	17	-3	0
1707271544	-1	19	49	56	47	57	34	0	0	23	17	2	0	3	0	3	11	3	16	30	30	0	23	0	7	0	0	0	0	-2	18	1	12	9	29	19	12	32	16	0	22	0	30	12	3	-7	9	9	17	-3	0
1707271643	-1	18	49	56	47	56	34	0	0	23	17	2	0	3	0	3	11	2	16	30	30	0	22	0	7	0	0	0	0	-1	18	0	12	9	29	19	12	32	15	0	22	0	30	13	3	-6	9	9	17	-3	0
