date	CBIO4105_27593	CBIO4106_28203	CBIO4201_27594	CBIO4201C_27595	CBIO4201C_27596	CBIO4300_28204	CBIO4306_27599	CBIO4308_27601	CBIO4310_27603	CBIO4318_27605	CBIO4325_28209	CBIO4326_27609	CBIO4503_27612	CBIO4521_27613	CBIO4523_13103	CBIO4525_27614	CBIO4527_27616	CBIO4528_27617	CBIO4600_13257	CBIO4800_28210	CBIO4800_28692	CBIO4804_12510	CBIO4805_12511	CBIO4806_27621	CBIO4807_27623	CBIO4808_27625	CBIO4809_27627	CBIO4810_27629	CBIO4811_27632	CBIO4812_27633	CBIO4813_27636	CBIO4902_12512	CBIO4912_12513	CBIO4913_12514	CBIO4918_27638	CBIO6802_15235	CBIO6802_16564	CBIO6802_16569	CBIO6802_16574	CBIO6802_23613	CBIO6803_15168	CBIO6803_21215	CBIO6803_21216	CBIO6903_12520	CBIO6914_11065	CBIO6924_15270	CBIO6925_15271	CBIO6970_12003	CBIO6971_12188	CBIO6980_12004	CBIO6981_12005	CBIO6982_12006	CBIO6983_12007	CBIO6984_26356	CBIO6985_12009	CBIO6986_17097	CBIO6987_22930	CBIO6988_27640	CBIO6990_12010	CBIO6991_28656	CBIO6997_27642
1707262107	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707262125	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707262142	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	7	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707262337	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	7	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707270001	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	7	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707270737	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	7	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707270816	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	7	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	6	8	7	-3	5	8	4	2	14	0	2
1707270840	5	8	10	4	6	7	12	3	9	10	10	6	1	1	18	8	6	19	87	9	0	74	9	-1	7	7	10	8	9	10	10	23	17	7	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	6	8	6	-3	4	8	4	2	13	0	2
1707270903	4	8	10	4	6	7	12	3	9	10	10	6	0	1	18	8	6	19	87	9	0	74	9	-1	7	7	10	8	9	10	10	23	17	7	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	6	8	6	-3	4	8	4	2	13	0	2
1707271009	4	8	10	4	6	7	12	3	9	10	10	6	0	1	17	8	6	19	87	9	0	72	9	-1	7	7	9	8	9	10	10	23	17	7	2	5	4	5	5	2	5	5	4	10	9	3	4	7	1	8	6	8	5	-4	4	8	4	2	13	0	2
1707271027	4	8	10	4	6	7	12	3	9	10	10	6	0	1	17	8	6	19	87	9	0	71	9	-1	7	7	9	8	9	10	10	23	17	7	2	5	4	5	5	2	5	5	4	10	9	3	4	7	1	8	6	8	5	-4	4	8	4	2	13	0	2
1707271053	4	8	10	4	6	7	12	3	9	10	10	6	0	1	17	8	6	19	86	9	0	71	9	-1	7	7	9	8	9	10	10	23	17	7	2	5	4	5	5	2	5	5	4	10	9	3	4	7	1	8	5	8	5	-4	4	8	4	2	13	0	2
1707271136	4	8	9	4	5	7	12	3	9	10	10	6	0	1	17	8	6	19	86	9	0	71	9	-1	7	7	9	8	9	10	10	23	17	6	2	5	4	5	5	2	5	5	4	10	9	3	4	7	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271218	4	8	9	4	5	7	12	3	9	10	10	6	0	1	17	8	6	20	86	9	0	71	9	-1	7	7	9	8	9	10	10	23	17	6	2	5	4	5	5	2	5	5	4	10	9	3	4	7	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271250	4	8	9	4	5	7	12	3	9	10	10	6	0	1	17	8	6	20	86	9	0	71	9	-1	7	7	9	8	9	10	10	23	17	6	2	5	4	5	5	2	5	5	4	10	9	3	4	7	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271309	4	8	8	3	5	7	12	3	9	10	10	6	0	1	17	8	6	20	86	9	0	71	9	-1	6	7	9	8	9	10	10	23	17	6	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271338	4	8	8	3	5	7	12	3	9	10	10	6	0	1	17	8	6	20	86	9	0	71	9	-1	6	7	9	8	9	10	10	23	17	6	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271422	4	8	8	3	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	71	9	-1	6	7	9	8	9	10	10	23	16	6	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271448	4	8	8	3	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	71	9	-1	6	7	9	8	9	10	10	23	16	6	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271510	4	8	7	2	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	72	9	0	6	7	9	8	9	10	10	23	16	6	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271544	4	8	6	1	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	72	9	-1	6	7	9	8	9	10	10	23	16	5	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271643	4	8	6	1	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	72	9	-1	6	7	9	8	9	10	10	23	16	5	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271704	4	8	6	1	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	72	9	-1	6	7	9	8	9	10	10	23	16	4	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271720	4	8	6	1	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	72	9	-1	6	7	9	8	9	10	10	23	16	4	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
1707271802	4	8	6	1	5	7	12	3	9	10	10	6	0	1	17	7	6	20	86	9	0	72	9	-1	6	7	9	8	9	10	10	23	16	4	2	5	4	5	5	2	5	5	4	10	9	3	4	8	0	8	5	8	5	-5	4	8	4	2	13	0	2
