date	CPOL1000_11298	CPOL1003_14523	CPOL1100_10967	CPOL1201_26428	CPOL1300_10027	CPOL1400_10906	CPOL1500_10028	CPOL2126_26429	CPOL2129B_26430	CPOL2136_26431	CPOL2143_26432	CPOL2144_27840	CPOL2206_26434	CPOL2251_26435	CPOL2254_27926	CPOL2335_26438	CPOL2342_26439	CPOL2344_26440	CPOL2346_26441	CPOL2411B_26442	CPOL2419A_26443	CPOL2423_26444	CPOL2424_26445	CPOL2501_26446	CPOL2601_13787	CPOL2602_28066	CPOL3003_10029	CPOL3005_10830	CPOL3202_26447	CPOL3300_26448	CPOL3402_26449	CPOL3500_26450	CPOL3600_12968	CPOL3990_10205	CPOL3991_18905	CPOL3992_17158	CPOL3993_10831	CPOL3995_18900	CPOL4000_26451	CPOL4001_23932	CPOL4066_18902	CPOL4103_18897	CPOL4522_26452	CPOL6523_19077	CPOL6972_20182	CPOL6973_20183	CPOL6974_20180	CPOL6975_20184	CPOL6976_20185	CPOL6977_20186	CPOL6978_20187	CPOL6979_20188	CPOL6980_12822	CPOL6990_21463	CPOL6994_26453	CPOL6998_19051
1707261807	28	45	35	0	0	42	-2	-6	3	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	14	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261822	28	45	35	0	0	42	-2	-6	3	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	14	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261842	28	45	35	0	0	41	-2	-6	3	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261903	28	45	35	0	0	41	-2	-6	3	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261944	28	45	34	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707262004	28	45	34	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707262107	28	45	35	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	1	1	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707262125	28	45	35	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	1	1	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707262142	28	45	35	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	1	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707262337	28	45	35	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	1	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707270001	28	45	35	0	0	41	-2	-6	4	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	1	15	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
