date	PSIC1016_24884	PSIC1018_27214	PSIC1019_24886	PSIC1020_27215	PSIC1021_27216	PSIC1022_24889	PSIC1024_24891	PSIC1025_27217	PSIC1026_27218	PSIC1027_27219	PSIC1030_27221	PSIC1110B_27222	PSIC1129B_27224	PSIC1130B_27225	PSIC1204_10438	PSIC1204_18771	PSIC1205_10439	PSIC1205_23328	PSIC1402_20993	PSIC1402_20995	PSIC1403_15098	PSIC2312_19697	PSIC2313_19698	PSIC2315_27226	PSIC2316_24902	PSIC2318_18186	PSIC2503_14103	PSIC2504_13262	PSIC2504_28344	PSIC2600_23329	PSIC2600_23330	PSIC2601_13263	PSIC2601_28347	PSIC2602_23331	PSIC2602_25788	PSIC2706_11420	PSIC2706_13336	PSIC2707_13264	PSIC2707_14071	PSIC2708_14070	PSIC3600_13445	PSIC3705_10442	PSIC3706_10440	PSIC3707_12069	PSIC3708_15154	PSIC3800_11540	PSIC3801_10649	PSIC3811_10650	PSIC3812_10651	PSIC3814_15093	PSIC3815_13700	PSIC3818_28592	PSIC3820_27227	PSIC3833_24905	PSIC3891_27228	PSIC3899_28591	PSIC3915_24916	PSIC3916_24917	PSIC3925_27230	PSIC3930_27232	PSIC3932_27233	PSIC3939_27234	PSIC3940_27235	PSIC3941_27236	PSIC3952_28590	PSIC3961_11077	PSIC3962_10441	PSIC4100_10170	PSIC4106_10171	PSIC4107_16001	PSIC4108_10355	PSIC4237_28727	PSIC4707_28728	PSIC4890_14124	PSIC4891_22376	PSIC6400_11189	PSIC6970_12070	PSIC6980_12071	PSIC6981_12072	PSIC6990_12566	PSIC6991_14110	PSIC6992_13693	PSIC6997_28544
1707251605	4	5	2	0	5	3	2	1	3	4	0	43	60	59	33	33	22	30	43	50	28	71	69	67	60	68	52	41	33	36	31	35	25	9	31	37	39	37	32	33	13	39	9	17	14	10	0	12	11	27	27	0	0	6	12	0	0	1	2	0	0	0	0	0	9	11	58	13	6	3	6	0	0	1	7	4	4	10	3	11	10	12	1
1707251658	4	5	2	0	4	2	1	1	2	4	0	34	59	49	32	33	21	29	43	47	28	69	65	64	59	62	42	34	33	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	11	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	4	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707251727	4	5	2	0	3	2	1	1	2	4	0	29	59	49	33	31	21	29	43	47	28	69	65	64	59	62	42	34	33	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	11	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707251900	4	5	2	0	3	2	1	1	2	5	0	26	60	49	33	32	21	29	43	47	28	69	65	64	59	62	42	34	33	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	10	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707251927	4	5	2	0	3	2	1	1	2	5	0	26	60	49	33	32	21	29	43	47	28	69	65	64	59	62	42	34	33	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	10	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707252025	4	5	2	0	3	2	1	1	2	5	0	26	60	49	33	32	21	29	42	47	28	68	64	64	59	62	43	34	34	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	9	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707252100	4	5	2	0	3	2	1	1	2	5	0	26	60	49	33	31	21	29	42	47	28	68	63	64	57	60	43	34	34	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	9	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707252124	4	5	2	0	3	2	1	1	2	5	0	26	60	49	33	31	21	29	42	47	28	68	63	64	57	60	41	34	34	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	9	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707252143	4	5	2	0	3	2	1	1	2	5	0	26	60	49	33	31	21	29	42	47	28	68	63	64	57	60	41	34	34	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	9	11	27	27	0	0	2	10	0	0	0	0	0	0	0	0	0	5	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707252259	4	5	2	0	3	2	1	1	2	5	0	26	59	49	33	31	21	29	42	47	28	68	63	64	57	60	41	34	34	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	9	10	26	26	0	0	4	10	0	0	0	0	0	1	0	0	0	4	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
