date	IMEC1000_10418	IMEC1000C_20840	IMEC1000C_20940	IMEC1000C_20941	IMEC1000C_25495	IMEC1001_10377	IMEC1001_10659	IMEC1001_12765	IMEC1001L_25521	IMEC1001L_25525	IMEC1001L_25527	IMEC1001L_25531	IMEC1330_11220	IMEC1330_21154	IMEC1330L_12298	IMEC1330L_12785	IMEC1330L_18704	IMEC1410_10011	IMEC1410_10174	IMEC1410_28345	IMEC1410L_12299	IMEC1410L_12793	IMEC1410L_22971	IMEC1410L_22972	IMEC1410L_28346	IMEC1503_10378	IMEC1503_10379	IMEC1503_10380	IMEC1503C_20954	IMEC1503C_20956	IMEC1503C_20958	IMEC1503C_20959	IMEC1541_10175	IMEC1541_12194	IMEC1541L_12300	IMEC1541L_12813	IMEC1997_19846	IMEC2070_11255	IMEC2210_11116	IMEC2210L_12301	IMEC2210L_12821	IMEC2210L_26121	IMEC2320_10176	IMEC2320_27781	IMEC2320L_12972	IMEC2320L_12973	IMEC2320L_27783	IMEC2411_10012	IMEC2411_12171	IMEC2411L_12302	IMEC2411L_12827	IMEC2520_16810	IMEC2520_18775	IMEC2520L_12303	IMEC2520L_12829	IMEC2540_10572	IMEC2540_10660	IMEC2540L_12304	IMEC2540L_12833	IMEC2540L_12835	IMEC2543_10792	IMEC2543_28613	IMEC2543L_14047	IMEC2543L_25602	IMEC2543L_25610	IMEC2700_11070	IMEC2700C_28073	IMEC2797_19847	IMEC3345_10970	IMEC3345L_14051	IMEC3345L_14052	IMEC3350_26899	IMEC3460_14054	IMEC3460_27812	IMEC3460C_20990	IMEC3460C_20991	IMEC3530_10971	IMEC3530_22770	IMEC3530C_20845	IMEC3530C_20994	IMEC3700_10013	IMEC3701_10014	IMEC3702_11284	IMEC3707_26900	IMEC3991_27373	IMEC3997_19845	IMEC4001_26901	IMEC4070_21954	IMEC4105_26902	IMEC4210_26905	IMEC4222_28072	IMEC4430_26906	IMEC4521_26907	IMEC4700_12978	IMEC4701_10540	IMEC4702_10541	IMEC4800_10580	IMEC4801_24561	IMEC4994_19882	IMEC4997_19848	IMEC6001_23672	IMEC6002_14118	IMEC6002_15287	IMEC6002_15288	IMEC6003_24564	IMEC6402_13873	IMEC6700_22656	IMEC6980_24565	IMEC6981_13876	IMEC6982_13877	IMEC6983_26908	IMEC6997_26909
1707251351	37	9	15	3	12	3	20	0	12	0	6	19	37	35	31	20	35	33	50	34	55	55	25	34	39	20	0	25	2	26	18	28	60	26	65	36	905	0	62	22	22	23	14	20	11	27	30	30	36	42	48	40	27	39	52	45	28	26	27	37	30	28	20	26	29	69	77	935	8	19	0	32	32	0	0	34	0	6	4	8	4	54	18	28	81	888	10	96	33	17	31	34	36	18	22	21	18	1	0	904	0	0	0	0	0	3	20	98	99	99	97	0
1707251441	37	9	15	3	12	3	20	0	12	0	6	19	36	35	31	19	35	33	50	32	55	55	25	34	37	20	0	24	2	26	18	27	60	26	65	36	901	0	57	20	21	21	0	6	0	12	28	27	36	39	48	40	22	34	52	44	25	23	26	37	8	24	4	19	26	48	56	886	6	17	0	29	25	0	0	27	0	2	0	8	0	54	18	28	80	876	10	96	33	17	28	34	36	18	22	21	18	1	0	902	0	0	0	0	0	3	20	98	99	99	97	0
1707251521	37	9	15	3	12	3	20	0	12	0	6	19	36	34	31	19	34	33	49	32	54	55	25	34	37	20	0	23	1	26	18	27	60	25	65	35	897	0	45	16	15	19	0	0	0	8	26	23	36	35	48	40	19	31	52	40	24	19	25	37	0	24	0	17	24	36	44	860	6	17	0	29	23	0	0	25	0	1	1	8	0	53	18	28	80	873	10	96	33	17	18	34	36	18	22	21	18	1	0	900	0	0	0	0	0	3	20	98	99	99	97	0
1707251605	37	9	15	3	12	2	20	0	12	0	6	18	36	34	31	19	34	33	48	32	53	55	25	34	37	20	0	23	1	26	18	27	60	24	65	34	895	0	34	12	11	16	0	0	0	6	23	18	35	30	47	40	12	24	52	38	22	17	23	37	0	24	0	17	24	21	29	824	6	17	0	29	23	0	0	25	-1	-1	-1	7	0	52	18	28	80	872	9	96	33	16	18	34	36	17	22	21	18	1	0	898	0	0	0	0	0	3	20	98	99	99	97	0
1707251658	37	9	15	3	12	2	20	0	12	0	6	18	34	34	31	17	34	33	48	31	53	55	25	34	36	15	0	21	0	24	14	27	60	21	65	31	885	0	13	6	4	8	-1	0	-1	6	18	10	33	22	45	39	4	16	51	34	16	11	22	34	0	22	0	15	24	8	16	800	6	17	0	29	24	0	0	26	0	2	2	2	0	52	18	28	79	872	9	96	33	16	18	34	36	17	22	21	18	1	0	899	0	0	0	0	0	3	20	98	99	99	97	0
1707251727	37	9	15	3	12	2	20	0	12	0	6	18	34	41	31	17	34	33	48	31	53	55	25	34	36	15	0	21	0	24	14	27	60	21	65	31	885	0	13	6	4	8	0	6	-1	0	19	10	33	22	45	38	4	16	50	34	16	11	22	34	0	22	0	15	24	8	16	800	6	17	0	29	24	0	0	26	0	2	2	2	0	52	18	28	79	872	9	96	33	16	18	34	36	17	22	21	18	1	0	899	0	0	0	0	0	3	20	98	99	99	97	0
1707251900	37	9	15	3	12	2	20	0	12	0	6	18	34	41	31	17	34	33	48	31	53	55	25	34	36	15	0	21	0	24	14	27	60	21	65	31	885	0	11	5	4	7	0	6	-1	0	19	10	33	22	45	38	4	16	50	34	16	11	22	34	0	22	0	15	24	6	14	798	5	16	0	29	24	0	0	26	0	1	1	2	0	52	18	28	79	872	9	96	33	17	18	34	35	17	22	21	18	1	0	899	0	0	0	0	0	3	20	98	99	99	97	0
1707251927	37	9	15	3	12	2	20	0	12	0	6	18	34	41	31	17	34	33	48	31	53	55	25	34	36	15	0	21	0	24	14	27	60	21	65	31	885	0	11	5	4	7	0	6	-1	0	19	10	33	22	45	38	4	16	50	34	16	11	22	34	0	22	0	15	24	6	14	798	5	16	0	29	24	0	0	26	0	1	1	2	0	52	18	28	79	872	9	96	33	17	18	34	35	17	22	21	18	1	0	899	0	0	0	0	0	3	20	98	99	99	97	0
1707252025	37	9	15	3	12	2	20	0	12	0	6	18	33	41	31	16	34	33	48	31	53	55	25	34	36	15	0	21	0	24	14	27	60	21	65	31	884	0	11	5	4	7	0	6	-1	0	19	10	33	22	45	38	4	16	50	34	16	11	22	34	0	22	0	15	24	6	14	798	5	16	0	29	24	0	0	26	0	1	1	2	0	52	18	28	79	872	11	96	35	17	19	34	35	17	22	21	18	1	0	899	0	0	0	0	0	3	20	98	99	99	97	0
1707252100	37	9	15	3	12	2	20	0	12	0	6	18	33	41	31	16	34	33	48	31	53	55	25	34	36	15	0	21	0	24	14	27	60	21	65	31	884	0	11	5	4	7	0	6	-1	0	19	10	33	22	45	38	4	16	50	34	16	11	22	34	0	22	0	15	24	6	14	798	5	16	0	29	24	0	0	26	0	1	1	2	0	51	18	28	79	872	11	96	35	17	19	34	35	17	22	21	18	1	0	898	0	0	0	0	0	3	20	98	99	99	97	0
