date	EGOB1100B_22952	EGOB1100B_28114	EGOB1101B_28099	EGOB1104_28284	EGOB1105_24179	EGOB1106_25409	EGOB1112B_14552	EGOB1112B_22879	EGOB1201B_28102	EGOB1209B_17701	EGOB1209B_20937	EGOB1209B_20939	EGOB1211B_28207	EGOB1500_17235	EGOB2100_28211	EGOB2101_24181	EGOB2101C_24182	EGOB2103_28259	EGOB2104_28260	EGOB3007_28263	EGOB3009_28264	EGOB3019_18848	EGOB3020_18849	EGOB3021_18850	EGOB3023_23600	EGOB3112_25578	EGOB3115_28265	EGOB3506_26664	EGOB3510_28268	EGOB3511_28269	EGOB3513_26671	EGOB3901_21665	EGOB4003_15215	EGOB4004_24188	EGOB4100_13062	EGOB4103_24189	EGOB4104_13064	EGOB4105_28270	EGOB4106_28271	EGOB4107_28272	EGOB4109_13574	EGOB4110_10994	EGOB4112_15573	EGOB4112_26049	EGOB4112_26050	EGOB4112_26051	EGOB4112_26052	EGOB4112_26053	EGOB4112_26108	EGOB4112_26158	EGOB4113_11118	EGOB4115_13415	EGOB4119_28273	EGOB4122_21669	EGOB4211_23529	EGOB4803_28274	EGOB4804_28275	EGOB4808_28363	EGOB4818_26193	EGOB4820_28276	EGOB4821_28277	EGOB4822_28684
1707252100	37	78	60	46	57	59	19	54	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	30	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	13	0	0	16	0
1707252124	37	78	60	46	57	59	19	54	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	30	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	13	0	0	16	0
1707252143	37	78	60	46	57	59	19	54	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	30	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	13	0	0	16	0
1707252259	37	78	59	46	57	59	19	54	63	18	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	30	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	12	0	0	16	0
1707252332	37	78	59	46	57	59	19	54	63	18	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	30	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	12	0	0	16	0
1707260820	35	77	56	45	55	59	18	54	59	11	36	38	41	0	27	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	22	28	18	16	0	18	15	0	-1	-1	-2	-1	0	0	0	10	0	23	5	0	21	30	12	0	0	16	0
1707261009	32	74	52	40	49	50	16	51	50	0	34	35	39	0	21	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	15	21	27	18	15	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	23	5	0	20	29	12	0	0	16	0
1707261047	28	73	50	41	43	48	14	49	50	0	34	33	38	0	16	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	15	21	27	18	15	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	20	29	12	0	0	16	0
1707261116	23	73	46	36	39	44	14	49	48	0	31	30	37	0	14	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	15	21	27	18	15	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	0
1707261144	12	73	37	32	36	40	11	48	44	0	30	29	37	0	11	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	15	21	26	18	15	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	0
