date	GEOC0000_21006	GEOC0001_21007	GEOC1002_14987	GEOC1002_14989	GEOC1002_15011	GEOC1002_15012	GEOC1002_15013	GEOC1022_11533	GEOC1023_18727	GEOC1023_18728	GEOC1312B_26715	GEOC1416B_26716	GEOC1611B_26717	GEOC2040_26718	GEOC2041_26719	GEOC2041_28135	GEOC2041_28139	GEOC2041_28140	GEOC2041_28143	GEOC2048_26720	GEOC2049_26721	GEOC2049_28147	GEOC2049_28155	GEOC2049_28158	GEOC2057_24261	GEOC3018_26722	GEOC3019_26723	GEOC3019_28159	GEOC3019_28160	GEOC3019_28161	GEOC3019_28219	GEOC3019_28220	GEOC3019_28221	GEOC3019_28222	GEOC3028_26724	GEOC3029_26725	GEOC3029_28163	GEOC3029_28164	GEOC3029_28165	GEOC3029_28166	GEOC3029_28223	GEOC3029_28224	GEOC3029_28225	GEOC3029_28226	GEOC3029_28227	GEOC3050_23531	GEOC3057_26726	GEOC3098_26727	GEOC3099_15209	GEOC3302_26728	GEOC3401_26729	GEOC3601_26730	GEOC3602_26731	GEOC3602_28174	GEOC3991_23653
1707270001	19	0	0	0	0	0	51	3	0	4	63	34	32	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707270737	19	0	0	0	0	0	51	3	0	4	63	34	32	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707270816	19	0	0	0	0	0	51	3	0	4	63	33	32	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707270840	19	0	0	0	0	0	51	3	0	4	63	33	32	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707270903	19	0	0	0	0	0	51	3	0	4	63	33	32	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	24	-1	-12	22	15	11	4	7	0
1707271009	19	0	0	0	0	0	52	3	0	4	63	33	33	22	1	0	4	5	13	22	6	4	0	0	23	35	0	0	-1	0	-1	1	3	11	20	-1	0	0	0	0	0	0	0	0	0	42	23	-1	-14	22	15	11	4	7	0
1707271027	19	0	0	0	0	0	52	3	0	4	63	33	33	22	1	0	4	5	13	22	6	4	0	0	23	35	0	0	-1	0	-1	1	3	11	20	-1	0	0	0	0	0	0	0	0	0	42	23	-1	-14	22	15	11	4	7	0
1707271053	18	0	0	0	0	0	52	3	0	4	63	33	33	22	1	0	4	5	13	22	6	4	0	0	23	35	0	0	-1	0	-1	1	3	11	20	-1	0	0	0	0	0	0	0	0	0	42	23	-1	-15	22	15	11	4	7	0
1707271136	18	0	0	0	0	0	52	3	0	4	63	33	32	22	1	0	4	5	13	22	6	4	0	0	23	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	21	-1	-16	22	15	11	4	7	0
1707271218	18	0	0	0	0	0	52	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	23	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	21	-1	-16	22	15	11	4	7	0
1707271250	18	0	0	0	0	0	52	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	23	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	21	-1	-16	22	15	11	4	7	0
1707271309	18	0	0	0	0	0	52	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	23	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	21	-1	-16	22	15	11	4	7	0
1707271338	18	0	0	0	0	0	52	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	23	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	21	-1	-16	22	15	11	4	7	0
1707271422	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	19	-1	-18	22	15	11	4	7	0
1707271448	18	0	0	0	0	0	51	3	0	4	63	34	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707271510	18	0	0	0	0	0	51	3	0	4	63	34	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707271544	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707271643	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707271704	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707271720	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707271802	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707272002	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707272150	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707272237	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707281100	18	0	0	0	0	0	51	3	0	4	63	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	17	-1	-21	22	15	11	4	7	0
1707281233	18	0	0	0	0	0	51	3	0	4	48	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	16	-1	-21	22	15	11	4	7	0
1707281457	18	0	0	0	0	0	51	3	0	4	48	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	16	-1	-21	22	15	11	4	7	0
1707281621	18	0	0	0	0	0	51	3	0	4	48	33	29	22	1	0	4	5	13	22	6	4	0	0	22	34	0	0	-1	0	-1	1	3	11	19	-1	0	0	-1	0	0	0	0	0	0	42	16	-1	-21	22	15	12	5	7	0
1707281911	17	0	0	0	0	0	51	3	0	4	48	33	29	22	1	0	4	5	13	22	6	4	0	0	22	28	0	0	-3	0	-1	-1	3	11	18	-1	-1	0	-1	0	0	0	0	0	0	42	9	-1	-24	22	15	12	5	7	0
