date	MADM4001_27004	MADM4001_27337	MADM4001_27338	MADM4005_27005	MADM4005_27331	MADM4005_27332	MADM4051_27006	MADM4052_22491	MADM4052_22492	MADM4052_27329	MADM4052_27330	MADM4053_27007	MADM4053_27321	MADM4053_27343	MADM4053_27344	MADM4053_27345	MADM4053_27346	MADM4100_20293	MADM4103_27008	MADM4103_27322	MADM4103_27323	MADM4152_27009	MADM4152_27326	MADM4152_27327	MADM4153_27010	MADM4211_27011	MADM4211_27324	MADM4250_27012	MADM4250_27333	MADM4250_27334	MADM4251_27013	MADM4251_27335	MADM4251_27336	MADM4355_27014	MADM4355_27325	MADM4450_22489	MADM4450_27328	MADM4550_22470	MADM4551_22469	MADM4903_27015	MADM4903_27319	MADM4903_27339	MADM4903_27340	MADM4903_27341	MADM4903_27342	MADM4909_21140	MADM4918_27016	MADM4919_27017	MADM4920_27018	MADM4921_27019
1707242329	22	14	1	23	11	0	20	0	4	0	4	11	14	5	11	4	12	20	18	0	19	21	8	0	22	6	7	22	0	18	22	0	12	10	0	13	0	8	5	8	15	17	0	12	5	3	2	17	0	5
1707242343	22	14	1	23	11	0	20	0	4	0	4	11	14	4	11	4	13	20	18	0	19	21	8	0	22	6	7	22	0	18	22	0	12	10	0	13	0	8	5	8	15	17	0	12	5	3	2	17	0	5
1707250748	22	14	1	23	11	0	20	0	4	0	4	11	14	4	11	4	13	20	18	0	19	21	8	0	22	6	7	22	0	18	22	0	12	10	0	13	0	7	4	8	15	17	0	12	5	3	2	17	0	5
1707251027	20	11	1	21	8	0	19	0	4	0	4	10	14	3	11	4	13	18	17	0	19	19	7	0	21	6	7	20	0	16	20	0	9	10	0	13	0	7	4	7	15	17	0	11	5	3	2	17	0	5
1707251309	20	10	1	21	7	0	19	0	4	0	4	10	14	3	11	3	13	18	17	0	18	19	7	0	21	5	7	20	0	15	20	0	8	10	0	13	0	7	4	7	15	17	0	10	5	3	1	17	0	5
1707251351	20	10	1	21	7	0	19	0	4	0	4	10	14	3	11	3	13	18	17	0	18	19	7	0	21	5	7	20	0	15	20	0	8	10	0	13	0	7	4	7	15	17	0	10	5	3	1	17	0	5
1707251441	20	10	1	21	6	0	19	0	4	0	4	10	14	3	11	3	13	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	7	4	7	15	17	0	10	5	3	1	17	0	5
1707251521	20	10	0	21	6	0	19	0	4	0	4	10	14	3	11	3	13	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	7	4	7	15	17	0	10	5	3	1	17	0	5
1707251605	20	10	0	21	6	0	19	0	4	0	4	9	14	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	7	4	6	15	17	0	10	5	3	1	17	0	5
1707251658	20	10	0	21	6	0	19	0	4	0	4	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707251727	20	10	0	21	6	0	19	0	4	0	3	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707251900	20	10	0	21	6	0	19	1	4	0	2	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707251927	20	10	0	21	6	0	19	1	4	0	2	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707252025	20	10	0	21	6	0	19	1	4	0	2	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707252100	20	10	0	21	6	0	19	1	4	0	2	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707252124	20	10	0	21	6	0	19	1	4	0	2	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	14	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707252143	20	10	0	21	6	0	19	1	4	0	2	7	13	3	11	3	12	18	17	0	18	19	7	0	21	5	7	20	0	13	20	0	8	10	0	13	0	6	3	4	15	17	0	10	5	3	1	17	-3	5
1707252259	20	8	0	21	4	0	19	1	4	0	2	7	13	3	11	2	12	18	17	0	18	19	7	0	21	5	7	20	0	13	20	0	6	10	0	13	0	5	2	4	15	17	0	9	5	3	1	17	-3	5
