date	HIST1101_12078	HIST1102_10079	HIST1417B_11546	HIST1605A_10600	HIST1706B_16151	HIST2101_28103	HIST2104_27497	HIST2202B_27829	HIST2204A_13418	HIST2204A_18530	HIST2205A_10632	HIST2300B_11222	HIST2303B_28020	HIST2305B_27754	HIST2333B_27771	HIST2406B_27743	HIST2412B_21787	HIST2420A_25632	HIST2420A_28736	HIST2422A_13109	HIST2500B_28351	HIST3101_10102	HIST3103_10974	HIST3104_12092	HIST3106_13419	HIST3400_28612	HIST3409_25629	HIST3513_28611	HIST3600_13157	HIST3990_15628	HIST3991_13420	HIST3992_13421	HIST3993_11314	HIST3996_28653	HIST3997_28654	HIST4705_12516	HIST4707_12519	HIST4709_11673	HIST4710_14125	HIST4800_25564	HIST4801_12524	HIST4802_11623	HIST4990_13797	HIST6007_21797	HIST6008_12048	HIST6970_12533	HIST6980_12534	HIST6981_12544	HIST6982_12545	HIST6983_12549	HIST6984_12550	HIST6985_12551	HIST6990_23570	HIST6997_21799
1707261116	3	15	25	0	72	0	3	0	1	1	68	15	0	32	72	0	57	4	0	39	12	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261144	0	13	24	0	72	0	3	0	0	0	66	15	-2	32	72	0	56	1	0	34	9	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261213	0	13	22	0	72	0	3	0	0	1	66	13	-2	29	72	0	55	0	0	34	9	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261257	0	13	21	0	71	0	3	0	0	0	66	13	-2	28	72	0	55	0	0	30	9	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261315	0	13	21	0	71	0	3	0	0	0	66	13	-2	28	72	0	55	0	0	29	9	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261354	0	13	21	0	71	0	3	0	0	0	66	13	-2	28	71	0	55	0	0	28	8	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261538	0	3	11	0	68	0	3	0	0	0	54	11	-2	26	71	0	47	0	0	0	2	11	-1	8	10	0	3	0	10	10	10	9	5	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261603	0	3	12	0	68	0	3	0	0	1	53	11	-2	25	70	0	42	0	0	0	2	11	-1	8	10	0	3	0	10	10	10	9	5	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261646	0	2	10	0	67	0	3	0	0	0	36	10	-2	22	70	0	38	0	0	0	0	11	-1	8	10	0	3	0	10	10	10	9	5	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261709	0	0	8	0	65	0	3	0	0	0	34	10	-2	22	70	0	37	0	0	0	0	11	-1	8	10	0	3	0	10	10	10	9	5	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261733	0	0	7	0	64	0	1	0	0	0	33	10	-2	20	70	0	37	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261807	0	0	7	0	64	0	1	0	0	0	32	9	-2	20	70	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261822	0	0	7	0	64	0	1	0	0	0	32	9	-2	20	70	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	19	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261842	0	0	6	0	64	0	1	0	0	0	32	9	-2	20	69	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	19	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261903	0	0	6	0	64	0	1	0	0	0	32	9	-2	20	69	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	19	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261944	0	0	6	0	63	0	1	0	0	0	32	8	-2	20	69	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	19	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
