date	ANTR1001_26230	ANTR1101_10265	ANTR1104_11519	ANTR1104_11544	ANTR1105A_20115	ANTR1106B_17435	ANTR1118A_26231	ANTR1128A_26232	ANTR1130B_26233	ANTR1134B_21330	ANTR1135A_21331	ANTR1201_10266	ANTR1202B_26234	ANTR1203A_13368	ANTR1401_20854	ANTR2102_11520	ANTR2104_26235	ANTR2105_26236	ANTR2119_27372	ANTR2120_27371	ANTR2202_26237	ANTR2301_26238	ANTR3006_21135	ANTR3011_28362	ANTR3014_25997	ANTR3015_27957	ANTR3101_26245	ANTR3172_26246	ANTR3173_26247	ANTR3177_14177	ANTR3178_14178	ANTR3179_14179	ANTR3180_17445	ANTR3183_28734	ANTR3184_28726	ANTR3185_10673	ANTR3188_28735	ANTR3190_17446	ANTR3191_11522	ANTR3193_11523	ANTR3194_10103	ANTR3195_10104	ANTR3198_28652	ANTR3600_20122	ANTR3990_19146	ANTR3992_11467	ANTR3993_11524	ANTR4108_28548	ANTR4109_28547	ANTR4137_11163	ANTR4138_17449	ANTR4224_10675	ANTR4225_10268	ANTR4500_25566	ANTR4974_28647	ANTR4975_28648	ANTR4976_28649	ANTR4977_28650	ANTR4990_14000	ANTR6061_28545	ANTR6062_17452	ANTR6063_14019	ANTR6064_14005	ANTR6065_13586	ANTR6066_13587	ANTR6961_13588	ANTR6962_25569	ANTR6963_25570	ANTR6970_13591	ANTR6971_19151	ANTR6980_13592	ANTR6981_13593	ANTR6982_13594	ANTR6983_15180	ANTR6990_14939	ANTR6991_25353
1707251727	14	38	24	27	57	52	34	6	24	44	33	47	28	35	45	27	15	19	23	11	25	16	11	18	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	5	5	5	4	4	3	10	12	8	21
1707251900	14	38	24	27	57	52	34	6	24	44	33	47	28	35	45	27	15	19	23	11	25	16	11	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	20
1707251927	14	38	24	27	57	52	34	6	24	44	33	47	28	35	45	27	15	19	23	11	25	16	11	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	19
1707252025	14	38	24	27	57	52	33	6	24	44	33	47	28	35	45	27	15	19	23	11	25	16	11	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	19
1707252100	14	38	24	27	57	52	33	6	24	44	33	47	28	35	45	27	15	19	23	11	25	16	11	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	19
1707252124	14	38	24	27	57	52	33	6	24	44	33	47	28	35	45	27	15	19	23	11	25	16	10	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	19
1707252143	14	38	24	27	57	52	33	6	24	44	32	47	28	35	45	27	15	19	23	11	25	16	10	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	18
1707252259	14	38	24	27	56	52	34	6	24	44	32	47	28	35	45	27	15	19	23	11	25	16	10	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	7	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	17
1707252332	14	38	24	27	56	52	34	6	24	44	32	47	28	35	45	27	15	19	23	11	25	16	10	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	7	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	17
1707260820	14	36	23	27	64	51	38	10	24	44	37	47	27	38	44	26	14	18	23	11	24	14	9	16	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	2	2	9	12	9	7	5	0	0	0	0	14	0	4	4	4	5	4	15	4	5	5	4	4	3	10	12	8	17
