date	LITE1100_13313	LITE1325_26978	LITE1326B_24639	LITE1327_26979	LITE1400_11089	LITE1401_12052	LITE1505B_26980	LITE1573A_22021	LITE1579B_26982	LITE1609A_26983	LITE1610A_27910	LITE1611_11197	LITE1611_11198	LITE1611_11199	LITE1611_11200	LITE1611_11201	LITE1611_11202	LITE1611_11203	LITE1611_11204	LITE1611_11205	LITE1611_11206	LITE1611_11207	LITE1611_11208	LITE1611_11552	LITE1611_12086	LITE1611_12176	LITE1611_12177	LITE1611_12190	LITE1611_12387	LITE1611_13498	LITE1611_16404	LITE1611_16408	LITE1611_16410	LITE1611_16411	LITE1611_20505	LITE1611_20508	LITE1611_20510	LITE1611_20511	LITE1611_20518	LITE1611_20523	LITE1611_23104	LITE1611_23105	LITE1611_23392	LITE1611_25285	LITE1611_25287	LITE1611_26027	LITE1611_27849	LITE1611_28138	LITE1611_28659	LITE1614_14087	LITE2104_26984	LITE2105_26985	LITE2303_26986	LITE2304B_26987	LITE2312_26988	LITE2405_11188	LITE2406_12257	LITE2407_13470	LITE2408_13471	LITE2523B_26989	LITE2526_27285	LITE2534B_26990	LITE2568B_26991	LITE2569B_26992	LITE2574B_26993	LITE2580B_26994	LITE2606_27911	LITE2616_26995	LITE2620_26996	LITE2672_26997	LITE3330_28608	LITE3347_26999	LITE3402_11595	LITE3405_13435	LITE3526_27000	LITE3602_24659	LITE3603_24660	LITE3616_27002	LITE3617_27913	LITE3903_10694	LITE3904_10821	LITE3905_24662	LITE3993_10936
1707252259	37	42	61	38	19	21	44	119	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	38	58	41	16	16	11	9	13	37	20	50	15	43	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707252332	37	42	61	38	19	21	44	119	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	38	58	41	16	16	11	9	13	37	20	50	15	43	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707260820	36	41	60	36	18	21	44	136	0	47	72	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	0	8	4	17	13	20	11	8	0	0	3	22	17	21	16	24	14	23	2	24	-13	29	44	40	36	58	40	16	16	8	8	12	37	20	49	14	42	41	16	17	7	10	0	0	10	13	23	4	4	4	0	6	-1	5	6
1707261009	33	32	59	20	13	20	35	114	0	37	70	0	23	21	0	24	13	0	0	3	16	17	22	16	1	3	13	14	0	8	4	17	12	20	10	8	0	0	2	22	17	20	16	24	14	22	2	24	11	28	35	22	22	50	30	11	11	-1	4	8	32	18	40	14	40	32	16	15	3	8	0	0	9	12	22	4	4	0	0	6	-1	5	6
1707261047	32	32	59	17	13	20	34	105	0	34	70	0	23	21	0	24	13	0	0	2	16	17	22	16	1	2	13	14	0	8	3	17	12	20	10	6	0	0	2	22	17	20	15	24	14	22	2	24	11	28	33	18	17	49	26	8	6	-1	4	7	27	16	39	14	36	31	16	15	3	8	0	0	9	12	22	4	4	0	0	6	-1	5	6
1707261116	29	29	57	17	11	18	30	103	0	35	70	0	23	21	0	24	12	0	0	2	16	16	22	16	0	1	11	14	0	8	1	17	12	20	9	6	0	0	0	21	17	19	14	24	14	22	2	23	11	28	29	13	11	45	25	3	6	-1	4	6	26	16	33	14	35	27	16	15	3	8	0	0	9	12	22	4	4	0	0	6	-1	5	6
1707261144	29	23	55	15	8	17	28	98	0	33	69	0	23	21	0	22	12	0	0	1	16	16	22	16	0	2	11	13	0	8	1	17	12	20	9	6	0	0	0	21	17	18	12	24	14	22	1	23	11	28	22	4	3	43	24	0	5	-1	4	5	24	16	32	13	35	26	15	15	3	5	0	0	9	12	21	4	4	0	0	6	-1	5	6
1707261213	29	23	55	14	8	17	28	30	0	32	69	0	23	21	0	22	11	0	0	1	16	16	22	16	0	2	11	13	0	8	2	17	12	20	9	5	0	0	0	21	17	18	12	24	14	22	1	23	11	28	22	4	1	43	23	0	5	-1	4	5	24	16	31	13	35	24	15	15	3	5	0	0	9	12	21	4	4	0	0	6	-1	5	6
1707261257	29	23	55	14	8	17	27	29	0	32	69	0	23	21	0	22	11	0	0	1	16	16	22	16	0	2	11	13	0	8	2	17	12	20	9	5	0	0	0	21	17	18	12	24	14	22	1	23	11	28	22	4	1	43	24	0	5	-1	4	5	24	16	33	13	36	24	15	15	3	5	0	0	9	12	21	4	4	0	0	6	-1	5	6
1707261315	29	22	55	14	7	17	26	29	0	32	69	0	23	21	0	22	11	0	0	1	16	16	22	16	0	2	11	13	0	8	1	17	12	20	9	5	0	0	0	21	17	18	12	24	14	22	1	23	11	28	22	4	0	43	23	0	5	-1	4	5	24	15	33	13	36	24	15	14	3	5	0	0	9	12	21	4	4	0	0	6	-1	5	6
