date	CISO1200B_13562	CISO1200B_14039	CISO1200B_25005	CISO1500B_13158	CISO1500B_13159	CISO2000_19766	CISO2000_20390	CISO2000_21161	CISO2102_20836	CISO2103_26388	CISO2108_26389	CISO2109_23872	CISO2110_23873	CISO2200_26390	CISO2200_28304	CISO4006_25354	CISO4010_23881	CISO4014_25345	CISO4019_25346	CISO4025_23896	CISO4029_26391	CISO4030_26392	CISO4031_26393	CISO4032_26394	CISO4033_26395	CISO4034_26396	CISO4035_26397	CISO4036_26398	CISO4037_26399	CISO4038_26400	CISO4039_26401	CISO4040_26402	CISO4506_25131	CISO4605_26405	CISO4615_26406	CISO4616_26407	CISO4618_26409	CISO4619_26410	CISO4620_26411	CISO4621_26412	CISO4623_26414	CISO4624_26415	CISO4625_26416	CISO4626_26417	CISO4627_26418	CISO4628_26419	CISO4629_26420	CISO4631_26421	CISO4632_26422	CISO4633_26423	CISO4634_28564	CISO4635_28542	CISO4636_28633	CISO4890_28537	CISO6001_26424	CISO6990_26425
1707270737	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-2	-1	12	24	0	-2	0	6	22
1707270816	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-1	-1	12	24	0	-2	0	6	22
1707270840	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	5	3	8	4	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-1	-1	12	24	0	-2	0	6	22
1707270903	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	5	3	8	3	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-1	-1	12	24	0	-2	0	6	22
1707271009	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-2	5	3	8	3	22	5	7	6	9	18	13	0	9	9	8	14	15	16	16	0	2	22	21	-1	-1	-1	-1	-1	12	24	0	-2	0	6	22
1707271027	0	11	0	0	-2	33	11	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	22	5	7	6	9	18	13	0	9	9	8	14	15	16	16	0	2	22	21	-1	-1	0	-1	-1	12	24	0	-2	0	6	22
1707271053	0	11	0	0	-2	33	11	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	22	5	7	6	9	18	13	0	9	9	8	14	15	16	16	0	2	22	21	-1	-1	0	-1	-1	12	24	0	-2	0	6	22
1707271136	0	11	0	0	-2	33	11	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	7	6	9	18	13	0	9	9	8	14	14	16	16	0	2	22	21	-1	-1	0	-1	-1	12	24	0	-2	0	6	22
1707271218	0	11	1	0	-1	33	11	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	7	6	9	17	12	0	9	9	8	14	14	16	16	0	2	21	21	-1	-1	-1	-1	-1	12	24	0	-2	0	6	22
1707271250	0	11	1	0	-1	33	11	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	7	6	9	17	12	0	9	9	7	14	14	16	16	0	2	21	21	-1	-1	-2	-1	-1	12	24	0	-2	0	6	22
1707271309	0	11	1	0	-1	33	10	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	7	6	9	17	12	0	9	9	7	14	14	16	16	0	2	21	21	-1	-1	-2	-1	-1	12	24	0	-2	0	6	22
1707271338	0	11	1	0	-1	33	10	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	7	6	9	17	12	0	9	9	8	14	14	16	16	0	2	21	21	-1	-1	-2	-1	-1	12	24	0	-2	0	6	22
1707271422	0	11	1	0	-1	33	10	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	7	6	9	17	12	0	9	9	8	14	14	16	16	0	2	21	21	-1	-1	-2	-1	-1	12	24	0	-2	0	6	22
1707271448	0	12	1	0	-3	33	10	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	8	6	9	17	12	0	9	9	8	14	14	16	16	0	2	21	21	-1	-1	-3	-1	-1	12	24	0	-2	0	6	22
1707271510	0	12	1	0	-5	33	10	40	47	0	63	28	5	-1	27	20	22	18	19	14	-2	5	3	8	3	20	5	8	6	9	17	12	0	9	9	8	14	14	16	16	0	2	21	21	-1	-1	-3	-1	-1	12	24	0	-2	0	6	22
